id,theme_a,theme_b,difficulty,category,reversible
477,Musique pour une musique qui avance comme une marche,Musique pour une musique qui balance comme une valse,1,Culture musicale,TRUE
478,Musique pour une chanson d’amour qui sonne comme une menace,Musique pour une chanson de rupture qui sonne comme une libération,3,Culture musicale,TRUE
479,Musique pour un morceau où le silence crée la tension,Musique pour un morceau où la répétition crée la tension,3,Culture musicale,TRUE
480,Musique pour une musique qui évoque un vieux film muet,Musique pour une musique qui évoque une comédie musicale,1,Culture musicale,TRUE
481,Musique pour jouer au serveur très chic pendant un dîner entre amis,Musique pour animer un dîner entre amis comme une vedette de cabaret,2,Humour,TRUE
482,Musique pour bronzer comme dans une publicité de parfum,Musique pour lutter dignement avec un parasol qui s’envole,2,Humour,TRUE
483,Musique pour porter des lunettes de soleil comme une star incognito,Musique pour retirer tes lunettes de soleil comme si tout le monde allait te reconnaître,2,Humour,TRUE
484,Musique pour entrer dans ton bain comme dans un spa de luxe,Musique pour traverser la salle de bains inondée comme un explorateur,1,Humour,TRUE
485,Musique pour saluer la foule depuis ton balcon imaginaire de roi,Musique pour espionner discrètement la rue derrière ton rideau,2,Humour,TRUE
486,Musique pour découper un gâteau comme un chirurgien,Musique pour servir les parts d’un gâteau comme un animateur de spectacle,1,Humour,TRUE
487,Musique pour attendre le feu vert comme sur une grille de départ,Musique pour patienter dans un embouteillage comme dans une limousine,2,Humour,TRUE
488,Musique pour nourrir des pigeons comme un souverain généreux,Musique pour reculer quand tous les pigeons arrivent en même temps,2,Humour,TRUE
489,Musique pour ouvrir un paquet de chips en cachette,Musique pour assumer le bruit d’un paquet de chips comme une entrée fracassante,1,Humour,TRUE
490,Musique pour annoncer la météo comme une prophétie,Musique pour commenter une averse comme une finale sportive,2,Humour,TRUE
491,Musique pour arroser une plante comme si tu sauvais une forêt,Musique pour admirer la nouvelle feuille de ta plante comme un miracle,2,Humour,TRUE
492,Musique pour transporter un gâteau fragile comme une bombe,Musique pour poser un gâteau intact sur la table comme un trophée,2,Humour,TRUE
493,Musique pour choisir un parfum comme une potion de séduction,Musique pour choisir un parfum comme une armure de confiance,3,Humour,TRUE
494,Musique pour expliquer les règles d’un jeu comme un professeur,Musique pour inventer une règle à ton avantage comme un escroc,2,Humour,TRUE
495,Musique pour entrer dans une brocante comme un chercheur de trésor,Musique pour repartir avec une lampe comme un collectionneur milliardaire,2,Humour,TRUE
496,Musique pour faire ton lit comme on prépare une chambre royale,Musique pour te jeter dessus comme après une grande bataille,2,Humour,TRUE
497,Musique pour lutter contre une mouche comme dans un film d’action,Musique pour guetter une mouche comme dans un film d’espionnage,1,Humour,TRUE
498,Musique pour te sentir à ta place pour la première fois,Musique pour revendiquer ta place malgré ceux qui t’excluent,2,Émotions,TRUE
499,Musique pour revendiquer ta différence avec fierté,Musique pour te sentir en harmonie avec les autres,2,Émotions,TRUE
500,Musique pour remercier quelqu’un qui a changé ta vie,Musique pour dire adieu à quelqu’un qui a changé ta vie,3,Émotions,TRUE
